district_name,state_name,year,season,crop,crop_area,crop_production,yield,crop_type,avg_temp,total_precip,avg_humidity,avg_windspeed,district_x,state_x,data_points,district_y,state_y,loamy_alfisols_level,ustalf/ustolls_level,loamy_alfisol_level,vertisols_level,vertic_soils_level,inceptisols_level,verrtisols_level,orthids_level,sandy_alfisol_level,sandy_alfisols_level,vertic_sols_level,udupts/udalfs_level,vrtic_soils_level,verti_sols_level,pssaments_level,vertic_osils_level,pssamnets_level,udolls/udalfs_level,innceptisols_level,crop_code,area_unit,production_unit,yield_unit
Chandigarh,Chandigarh,2018,rabi,wheat,546.0,2730.0,5.0,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Kachchh,Gujarat,2017,kharif,bajra,25412.0,35659.0,1.4,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare
Nanded,Maharashtra,2017,rabi,safflower,4900.0,3700.0,0.76,Oilseeds,23.35675,1.42,38.0445,1.7850833,Nanded,Maharashtra,120.0,Nanded,Maharashtra,,,,moderate,extreme,,,,,,,,,,,,,,,1008,Hectare,Tonnes,Tonnes/Hectare
Davangere,Karnataka,2016,rabi,other  rabi pulses,63.0,2.0,0.03,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Ri Bhoi,Meghalaya,2015,zaid,potato,26.0,180.0,6.92,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Amreli,Gujarat,2018,rabi,small millets,274.0,587.0,2.14,Cereals,25.742033,2.63,33.297417,1.9532417,Amreli,Gujarat,182.0,Amreli,Gujarat,,,,,,,,high_extreme,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Shimla,Himachal Pradesh,2019,kharif,arhar/tur,9.0,5.0,0.56,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare
Shimla,Himachal Pradesh,2016,kharif,groundnut,7.0,4.0,0.57,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Belagavi,Karnataka,2016,kharif,bajra,10150.0,6133.0,0.6,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare
Tapi,Gujarat,2017,zaid,rice,1856.0,4945.0,2.66,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Mahoba,Uttar Pradesh,2018,rabi,wheat,81887.0,230571.0,2.82,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Belagavi,Karnataka,2018,whole_year,coriander,242.0,216.0,0.89,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Kendrapara,Odisha,2018,rabi,potato,132.0,2533.3,19.19,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Khowai,Tripura,2017,rabi,peas & beans (pulses),352.0,294.0,0.84,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Nizamabad,Telangana,2018,kharif,moong(green gram),364.0,229.0,0.63,Pulses,28.931122,576.08,59.099487,2.844813,Nizamabad,Telangana,214.0,Nizamabad,Telangana,,,,very_low,high_extreme,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Bageshwar,Uttarakhand,2019,kharif,other kharif pulses,1592.0,1430.0,0.9,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Chittorgarh,Rajasthan,2018,kharif,bajra,66.0,59.0,0.89,Cereals,29.206028,590.03,53.48916,2.6845794,Chittorgarh,Rajasthan,214.0,Chittorgarh,Rajasthan,,,,,high_extreme,,,,,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare
Balangir,Odisha,2017,kharif,urad,1389.0,432.0,0.31,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Bemetara,Chhattisgarh,2017,kharif,rice,169282.0,178631.0,1.06,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Srinagar,Jammu And Kashmir,2015,kharif,other kharif pulses,120.0,31.3,0.26,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Panna,Madhya Pradesh,2017,rabi,peas & beans (pulses),9470.0,11440.0,1.21,Pulses,21.34934,11.5,43.740055,1.5615385,Panna,Madhya Pradesh,182.0,Panna,Madhya Pradesh,,,,,high_extreme,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Deoghar,Jharkhand,2019,rabi,gram,10106.0,14755.0,1.46,Pulses,17.967833,45.2,64.92375,1.6866666,Deoghar,Jharkhand,120.0,,,,,,,,,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Bahraich,Uttar Pradesh,2019,rabi,turmeric,85.0,120.0,1.41,Spices,18.953627,148.27,61.375328,1.5960989,Bahraich,Uttar Pradesh,182.0,Bahraich,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,504,Hectare,Tonnes,Tonnes/Hectare
Azamgarh,Uttar Pradesh,2016,kharif,sweet potato,7.0,78.0,11.14,Vegetable,31.04383,978.56,59.439438,2.1100466,Azamgarh,Uttar Pradesh,214.0,Azamgarh,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,703,Hectare,Tonnes,Tonnes/Hectare
Purulia,West Bengal,2016,rabi,moth,16.0,15.0,0.94,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,Hectare,Tonnes,Tonnes/Hectare
Dhamtari,Chhattisgarh,2018,rabi,potato,5.0,70.0,14.0,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Mandya,Karnataka,2018,whole_year,tobacco,9.0,7.0,0.78,Drugs And Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,Hectare,Tonnes,Tonnes/Hectare
Mansa,Punjab,2015,kharif,moong(green gram),400.0,190.0,0.48,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Siwan,Bihar,2017,rabi,masoor,455.0,474.0,1.04,Pulses,19.3735,2.67,47.01642,1.6104167,Siwan,Bihar,120.0,,,,,,,,,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Amritsar,Punjab,2019,rabi,rapeseed &mustard,2000.0,3100.0,1.55,Oilseeds,16.643902,231.54,57.16599,1.2892308,Amritsar,Punjab,182.0,Amritsar,Punjab,,,,,,high_extreme,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Kasaragod,Kerala,2017,whole_year,banana,687.0,6783.0,9.87,Fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,Hectare,Tonnes,Tonnes/Hectare
Osmanabad,Maharashtra,2016,kharif,jowar,14100.0,6300.0,0.45,Cereals,27.678738,753.17,61.825935,3.1935046,Osmanabad,Maharashtra,214.0,Osmanabad,Maharashtra,,,,,high_extreme,,,,,,,,,,,,,,,102,Hectare,Tonnes,Tonnes/Hectare
Haridwar,Uttarakhand,2017,whole_year,turmeric,3.0,6.0,2.0,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,Hectare,Tonnes,Tonnes/Hectare
Nizamabad,Telangana,2015,rabi,other  rabi pulses,49.0,20.0,0.41,Pulses,25.634726,58.82,44.01978,2.0202746,Nizamabad,Telangana,182.0,Nizamabad,Telangana,,,,very_low,high_extreme,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Sagar,Madhya Pradesh,2018,kharif,arhar/tur,6121.0,5876.0,0.96,Pulses,29.074299,1120.89,58.259533,2.603271,Sagar,Madhya Pradesh,214.0,Sagar,Madhya Pradesh,,,,moderate,moderate,,,,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare
Nagaur,Rajasthan,2019,rabi,gram,130331.0,152915.0,1.17,Pulses,16.678833,32.67,43.8495,1.8106667,Nagaur,Rajasthan,120.0,Nagaur,Rajasthan,,,,,,very_low,,,,,,,,,,,high_extreme,,,201,Hectare,Tonnes,Tonnes/Hectare
Nalgonda,Telangana,2017,rabi,cowpea(lobia),133.0,173.0,1.3,Pulses,25.211924,79.82,58.999836,1.6258792,Nalgonda,Telangana,182.0,Nalgonda,Telangana,,,,,,,,,high_extreme,,,,,,,,,,,207,Hectare,Tonnes,Tonnes/Hectare
Kangra,Himachal Pradesh,2016,kharif,rice,33155.0,49974.0,1.51,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Pashchim Medinipur,West Bengal,2018,kharif,sunflower,12.0,14.0,1.17,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,Hectare,Tonnes,Tonnes/Hectare
Tumakuru,Karnataka,2018,kharif,other kharif pulses,2705.0,1669.0,0.62,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Mahesana,Gujarat,2017,kharif,sesamum,2833.0,1998.0,0.71,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,Hectare,Tonnes,Tonnes/Hectare
Tonk,Rajasthan,2019,rabi,masoor,336.0,571.0,1.7,Pulses,19.099615,27.0,51.96676,1.4174725,Tonk,Rajasthan,182.0,Tonk,Rajasthan,,,,,,high_extreme,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Tuticorin,Tamil Nadu,2018,rabi,ragi,32.0,115.0,3.59,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,Hectare,Tonnes,Tonnes/Hectare
Sangareddy,Telangana,2019,rabi,coriander,9.0,8.0,0.89,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Faizabad,Uttar Pradesh,2017,rabi,potato,4213.0,102603.0,24.35,Vegetable,20.463242,42.52,50.378902,1.6236264,Faizabad,Uttar Pradesh,182.0,Faizabad,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Kolasib,Mizoram,2017,rabi,other  rabi pulses,135.0,199.0,1.47,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Saran,Bihar,2015,zaid,rice,236.0,564.0,2.39,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Porbandar,Gujarat,2017,kharif,castor seed,775.0,1868.0,2.41,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,Hectare,Tonnes,Tonnes/Hectare
Malappuram,Kerala,2017,zaid,rice,2456.0,9768.0,3.98,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Bhadradri,Telangana,2016,kharif,cotton(lint),37975.0,128445.0,3.38,Fiber Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,Hectare,Tonnes,Tonnes/Hectare
Begusarai,Bihar,2017,rabi,peas & beans (pulses),1466.0,1727.0,1.18,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Jorhat,Assam,2017,rabi,masoor,285.0,205.0,0.72,Pulses,21.387691,412.76,72.70621,0.9882967,Jorhat,Assam,182.0,,,,,,,,,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Kokrajhar,Assam,2019,kharif,sesamum,499.0,377.0,0.76,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,Hectare,Tonnes,Tonnes/Hectare
Shahdol,Madhya Pradesh,2016,whole_year,coriander,667.0,466.9,0.7,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Yadagiri,Karnataka,2019,whole_year,coriander,9.0,4.0,0.44,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Haridwar,Uttarakhand,2020,kharif,moong(green gram),1.0,1.0,1.0,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Birbhum,West Bengal,2015,rabi,wheat,33807.0,92511.0,2.74,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Sitamarhi,Bihar,2016,rabi,masoor,2460.0,2357.0,0.96,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Dibrugarh,Assam,2018,kharif,jute,10.0,116.0,11.6,Fiber Crops,27.930561,1974.41,76.15781,0.50098133,Dibrugarh,Assam,214.0,Dibrugarh,Assam,,,,,,,,,,,,,,,,,,,,1102,Hectare,Tonnes,Tonnes/Hectare
Vijayapura,Karnataka,2019,rabi,cotton(lint),570.0,411.0,0.72,Fiber Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,Hectare,Tonnes,Tonnes/Hectare
Chandel,Manipur,2018,kharif,cowpea(lobia),153.0,171.0,1.12,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,Hectare,Tonnes,Tonnes/Hectare
Nizamabad,Telangana,2015,rabi,coriander,125.0,89.0,0.71,Spices,24.44825,24.52,41.1305,2.06175,Nizamabad,Telangana,120.0,Nizamabad,Telangana,,,,very_low,high_extreme,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Hamirpur,Uttar Pradesh,2019,rabi,onion,81.0,1155.0,14.26,Vegetable,19.440989,86.6,58.42379,1.446978,Hamirpur,Uttar Pradesh,182.0,Hamirpur,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,708,Hectare,Tonnes,Tonnes/Hectare
Faridabad,Haryana,2018,whole_year,garlic,25.0,250.0,10.0,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,Hectare,Tonnes,Tonnes/Hectare
Golaghat,Assam,2017,whole_year,sweet potato,98.0,360.0,3.67,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,Hectare,Tonnes,Tonnes/Hectare
Suryapet,Telangana,2016,rabi,urad,504.0,412.0,0.82,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Kalahandi,Odisha,2019,kharif,groundnut,255.0,293.0,1.15,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Mainpuri,Uttar Pradesh,2015,rabi,wheat,161770.0,539018.0,3.33,Cereals,20.585934,139.83,41.342197,1.5869781,Mainpuri,Uttar Pradesh,182.0,Mainpuri,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Kalahandi,Odisha,2016,kharif,urad,308.0,164.2,0.53,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Kurnool,Andhra Pradesh,2019,rabi,rice,38714.0,151604.0,3.92,Cereals,25.813131,137.91,61.147198,2.1173077,Kurnool,Andhra Pradesh,182.0,Kurnool,Andhra Pradesh,,,,,moderate,,,,extreme,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Belagavi,Karnataka,2015,zaid,sunflower,914.0,777.0,0.85,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,Hectare,Tonnes,Tonnes/Hectare
Bhind,Madhya Pradesh,2016,rabi,peas & beans (pulses),9000.0,13000.0,1.44,Pulses,21.747322,34.04,33.957706,1.4762295,Bhind,Madhya Pradesh,183.0,Bhind,Madhya Pradesh,,,,,high_extreme,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Nizamabad,Telangana,2015,rabi,wheat,814.0,1890.0,2.32,Cereals,24.44825,24.52,41.1305,2.06175,Nizamabad,Telangana,120.0,Nizamabad,Telangana,,,,very_low,high_extreme,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Kargil,Jammu And Kashmir,2018,kharif,small millets,351.0,192.1,0.55,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Ratlam,Madhya Pradesh,2019,kharif,sesamum,28.0,13.0,0.46,Oilseeds,28.415749,1266.78,64.04411,2.9628506,Ratlam,Madhya Pradesh,214.0,Ratlam,Madhya Pradesh,,,,,high_extreme,,,,,,,,,,,,,,,1003,Hectare,Tonnes,Tonnes/Hectare
Bongaigaon,Assam,2018,kharif,rice,4477.0,4131.0,0.92,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Rayagada,Odisha,2019,rabi,gram,140.0,110.0,0.79,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Bidar,Karnataka,2016,kharif,jowar,26612.0,17394.0,0.65,Cereals,27.848364,844.83,63.87047,3.0606542,Bidar,Karnataka,214.0,Bidar,Karnataka,,,,,high_extreme,,,,,,,,,,,,,,,102,Hectare,Tonnes,Tonnes/Hectare
Purulia,West Bengal,2016,rabi,wheat,1366.0,2415.0,1.77,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Bhadradri,Telangana,2019,kharif,sesamum,39.0,6.0,0.15,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,Hectare,Tonnes,Tonnes/Hectare
Phek,Nagaland,2019,kharif,sugarcane,260.0,11336.0,43.6,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Hectare,Tonnes,Tonnes/Hectare
Khandwa,Madhya Pradesh,2018,rabi,linseed,4.0,2.0,0.5,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,Hectare,Tonnes,Tonnes/Hectare
Mahabubabad,Telangana,2019,rabi,urad,304.0,547.0,1.8,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Pauri Garhwal,Uttarakhand,2019,rabi,masoor,448.0,390.0,0.87,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Coochbehar,West Bengal,2015,rabi,potato,36806.0,885147.0,24.05,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Gajapati,Odisha,2018,rabi,rapeseed &mustard,42.0,5.4,0.13,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Kaushambi,Uttar Pradesh,2019,kharif,small millets,4.0,3.0,0.75,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Mandla,Madhya Pradesh,2018,rabi,wheat,53435.0,123324.0,2.31,Cereals,19.426584,58.84,41.151917,1.5285833,Mandla,Madhya Pradesh,120.0,Mandla,Madhya Pradesh,,,,very_low,high_extreme,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Panch Mahals,Gujarat,2018,kharif,tobacco,105.0,194.0,1.85,Drugs And Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,Hectare,Tonnes,Tonnes/Hectare
Vaishali,Bihar,2016,rabi,rapeseed &mustard,3134.0,3162.0,1.01,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Bhilwara,Rajasthan,2019,kharif,castor seed,85.0,44.0,0.52,Oilseeds,29.038458,876.18,58.44005,2.490514,Bhilwara,Rajasthan,214.0,Bhilwara,Rajasthan,,,,,high_extreme,,,,,,,,,,,,,,,1002,Hectare,Tonnes,Tonnes/Hectare
Basti,Uttar Pradesh,2015,rabi,gram,590.0,363.0,0.62,Pulses,21.078901,135.63,45.887142,1.6852747,Basti,Uttar Pradesh,182.0,Basti,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Bijnor,Uttar Pradesh,2015,kharif,dry chillies,5.0,4.0,0.8,Spices,28.186682,956.5,55.750187,1.7373831,Bijnor,Uttar Pradesh,214.0,Bijnor,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,502,Hectare,Tonnes,Tonnes/Hectare
Pune,Maharashtra,2016,kharif,jowar,1800.0,400.0,0.22,Cereals,25.060467,2249.26,76.51075,3.378645,Pune,Maharashtra,214.0,Pune,Maharashtra,,,,low,extreme,,,,,,,,,,,,,,,102,Hectare,Tonnes,Tonnes/Hectare
Khargone,Madhya Pradesh,2015,whole_year,dry chillies,34209.0,58155.0,1.7,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,Hectare,Tonnes,Tonnes/Hectare
Darrang,Assam,2017,kharif,castor seed,1.0,1.0,1.0,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,Hectare,Tonnes,Tonnes/Hectare
Surendranagar,Gujarat,2015,whole_year,dry chillies,265.0,270.0,1.02,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,Hectare,Tonnes,Tonnes/Hectare
Osmanabad,Maharashtra,2018,rabi,wheat,19580.0,15000.0,0.77,Cereals,24.624395,29.11,35.11412,1.880989,Osmanabad,Maharashtra,182.0,Osmanabad,Maharashtra,,,,,high_extreme,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Darbhanga,Bihar,2017,rabi,masoor,2142.0,1752.0,0.82,Pulses,22.120659,47.63,49.418076,1.581978,Darbhanga,Bihar,182.0,Darbhanga,Bihar,,,,,,high_extreme,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Tikamgarh,Madhya Pradesh,2015,rabi,wheat,94000.0,180000.0,1.91,Cereals,20.563572,139.92,50.42203,1.4345604,Tikamgarh,Madhya Pradesh,182.0,Tikamgarh,Madhya Pradesh,,,,,high_extreme,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Medak,Telangana,2015,kharif,onion,296.0,4183.0,14.13,Vegetable,28.638224,504.78,59.217148,2.8363085,Medak,Telangana,214.0,Medak,Telangana,,,,,low,,,,extreme,,,,,,,,,,,708,Hectare,Tonnes,Tonnes/Hectare
Srikakulam,Andhra Pradesh,2019,rabi,moong(green gram),26653.0,14099.0,0.53,Pulses,24.21313,292.22,73.11225,1.8531319,Srikakulam,Andhra Pradesh,182.0,Srikakulam,Andhra Pradesh,,,,,,,,high_extreme,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Nuapada,Odisha,2017,kharif,urad,5487.0,1448.6,0.26,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Tuensang,Nagaland,2015,rabi,rapeseed &mustard,2150.0,2170.0,1.01,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Pali,Rajasthan,2015,rabi,linseed,59.0,19.0,0.32,Oilseeds,19.853416,3.49,29.47725,1.80875,Pali,Rajasthan,120.0,Pali,Rajasthan,,,,,,,,,,,,,,,high_extreme,,,,,1005,Hectare,Tonnes,Tonnes/Hectare
Medak,Telangana,2017,kharif,moong(green gram),2063.0,1362.0,0.66,Pulses,28.391169,675.06,61.605,2.7646263,Medak,Telangana,214.0,Medak,Telangana,,,,,low,,,,extreme,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
North Tripura,Tripura,2018,rabi,khesari,3.0,1.89,0.63,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,Hectare,Tonnes,Tonnes/Hectare
Mokokchung,Nagaland,2016,kharif,peas & beans (pulses),230.0,310.0,1.35,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
West Tripura,Tripura,2015,rabi,masoor,263.0,174.0,0.66,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Tirunelveli,Tamil Nadu,2018,whole_year,arecanut,123.0,41.0,0.33,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,Hectare,Tonnes,Tonnes/Hectare
Dang,Gujarat,2015,kharif,maize,1964.0,2592.0,1.32,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Jaunpur,Uttar Pradesh,2015,rabi,masoor,139.0,115.0,0.83,Pulses,21.669561,115.33,42.367363,1.5953846,Jaunpur,Uttar Pradesh,182.0,Jaunpur,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Jalaun,Uttar Pradesh,2017,kharif,small millets,8.0,5.0,0.62,Cereals,32.54042,482.43,46.939064,2.1856542,Jalaun,Uttar Pradesh,214.0,Jalaun,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Muzaffarpur,Bihar,2015,rabi,linseed,56.0,48.0,0.86,Oilseeds,21.652857,68.29,50.386703,1.627967,Muzaffarpur,Bihar,182.0,Muzaffarpur,Bihar,,,,,,high_extreme,,,,,,,,,,,,,,1005,Hectare,Tonnes,Tonnes/Hectare
Kolar,Karnataka,2019,kharif,soyabean,22.0,25.0,1.14,Oilseeds,25.415936,810.8,70.431305,3.135327,Kolar,Karnataka,214.0,Kolar,Karnataka,,,,,,,,,high_extreme,,,,,,,,,,,1009,Hectare,Tonnes,Tonnes/Hectare
Dhule,Maharashtra,2018,kharif,cotton(lint),217874.0,210521.0,0.97,Fiber Crops,28.331402,459.88,59.338036,3.6922898,Dhule,Maharashtra,214.0,Dhule,Maharashtra,,,,low,extreme,,,,,,,,,,,,,,,1101,Hectare,Tonnes,Tonnes/Hectare
Erode,Tamil Nadu,2018,whole_year,sweet potato,3.0,67.0,22.33,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,Hectare,Tonnes,Tonnes/Hectare
Buldhana,Maharashtra,2017,rabi,rapeseed &mustard,700.0,300.0,0.43,Oilseeds,23.34566,71.18,42.956375,1.703956,Buldhana,Maharashtra,182.0,Buldhana,Maharashtra,,,,low,extreme,,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Shimla,Himachal Pradesh,2017,rabi,barley,3123.0,5511.0,1.76,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Hectare,Tonnes,Tonnes/Hectare
West Godavari,Andhra Pradesh,2018,kharif,niger seed,79647.0,1.094102e+06,13.74,Oilseeds,28.772476,1024.72,78.68948,3.2712617,West Godavari,Andhra Pradesh,214.0,West Godavari,Andhra Pradesh,,,,,,,,moderate,moderate,,,,,,,,,,,1010,Hectare,Tonnes,Tonnes/Hectare
Patna,Bihar,2017,whole_year,coriander,274.0,250.0,0.91,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
